0.16666666666666666, 0.2777777777777778, 1, 1, 0, -1, ucellsize, ucellshape, 1
0.16666666666666666, 0, 0.3888888888888889, 0.7222222222222222, 1, -1, ucellsize, bnuclei, 3
0.16666666666666666, 0, 1, 0.2777777777777778, 0, -2, ucellsize, ucellshape, 2
0.05555555555555555, 0, 1, 0.2777777777777778, 2, -1, bnuclei, sepics, 4
0, 0, 0.16666666666666666, 1, 0, -3, ucellsize, ucellshape, 5
0, 0, 0.8333333333333334, 0.2777777777777778, 3, 0, normnucl, mgadhesion
0, 0.2777777777777778, 0.8333333333333334, 1, 3, 1, normnucl, mgadhesion
0, 0, 0.3888888888888889, 0.3888888888888889, 4, 0, clump, clump
0, 0.3888888888888889, 1, 1, 4, 1, clump, clump
0.3888888888888889, 0, 1, 0.3888888888888889, 4, 1, clump, clump
0.8333333333333334, 0, 1, 1, 3, 1, normnucl, mgadhesion
0.05555555555555555, 0.2777777777777778, 1, 1, 2, 1, bnuclei, sepics
0.2777777777777778, 0.7222222222222222, 0.3888888888888889, 1, 1, 1, ucellsize, bnuclei
0, 0, 0.05555555555555555, 1, 2, 0, bnuclei, sepics
0.3888888888888889, 0, 1, 1, 1, 1, ucellsize, bnuclei
0, 0, 0.2777777777777778, 0.2777777777777778, 5, 0, normnucl, normnucl
0, 0.2777777777777778, 1, 1, 5, 1, normnucl, normnucl
0.2777777777777778, 0, 1, 0.2777777777777778, 5, 1, normnucl, normnucl
