0.16666666666666666, 0, 1, 1, 0, -1, ucellsize, normnucl, 1
0.16666666666666666, 0.2777777777777778, 0.3888888888888889, 1, 1, -1, ucellsize, bnuclei, 3
0.3888888888888889, 0, 1, 1, 1, -2, ucellsize, bnuclei, 2
0, 0, 0.6111111111111112, 0.8333333333333334, 2, -1, clump, bnuclei, 4
0, 0, 0.16666666666666666, 0.2777777777777778, 0, -2, ucellsize, normnucl, 5
0.16666666666666666, 0, 0.3888888888888889, 0.2777777777777778, 1, -3, ucellsize, bnuclei, 6
0, 0, 0.3888888888888889, 0.5, 3, 1, uucellshape, mgadhesion
0, 0.5, 0.3888888888888889, 1, 3, 1, uucellshape, mgadhesion
0, 0, 0.3888888888888889, 0.3888888888888889, 4, 0, bchromatin, bchromatin
0, 0.3888888888888889, 1, 1, 4, 1, bchromatin, bchromatin
0.3888888888888889, 0, 1, 0.3888888888888889, 4, 1, bchromatin, bchromatin
0.2777777777777778, 0, 1, 0.2777777777777778, 5, 0, bnuclei, clump
0.2777777777777778, 0.2777777777777778, 1, 1, 5, 0, bnuclei, clump
0, 0, 0.16666666666666666, 0.16666666666666666, 6, 0, normnucl, normnucl
0, 0.16666666666666666, 1, 1, 6, 0, normnucl, normnucl
0.16666666666666666, 0, 1, 0.16666666666666666, 6, 0, normnucl, normnucl
0.3888888888888889, 0, 1, 1, 3, 1, uucellshape, mgadhesion
0, 0.8333333333333334, 0.6111111111111112, 1, 2, 1, clump, bnuclei
0, 0, 0.2777777777777778, 1, 5, 0, bnuclei, clump
0.6111111111111112, 0, 1, 1, 2, 1, clump, bnuclei
0, 0.2777777777777778, 0.16666666666666666, 1, 0, 1, ucellsize, normnucl
