0.16666666666666666, 0, 1, 1, 0, -1, ucellsize, bnuclei, 1
0.3888888888888889, 0, 1, 0.6111111111111112, 1, -1, ucellsize, clump, 2
0, 0.3888888888888889, 0.8333333333333334, 1, 2, -1, bnuclei, bchromatin, 4
0.16666666666666666, 0, 0.3888888888888889, 1, 1, -2, ucellsize, clump, 3
0.16666666666666666, 0, 1, 0.6111111111111112, 3, -1, bnuclei, clump, 5
0.16666666666666666, 0.6111111111111112, 1, 1, 3, -2, bnuclei, clump, 6
0, 0, 0.16666666666666666, 1, 3, -3, bnuclei, clump, 7
0, 0, 0.16666666666666666, 0.3888888888888889, 0, -2, ucellsize, bnuclei, 8
0, 0, 0.8333333333333334, 0.8333333333333334, 4, 1, mgadhesion, mgadhesion
0, 0.8333333333333334, 1, 1, 4, 1, mgadhesion, mgadhesion
0.8333333333333334, 0, 1, 0.8333333333333334, 4, 1, mgadhesion, mgadhesion
0, 0, 0.2777777777777778, 0.2777777777777778, 5, 0, bchromatin, bchromatin
0, 0.2777777777777778, 1, 1, 5, 1, bchromatin, bchromatin
0.2777777777777778, 0, 1, 0.2777777777777778, 5, 1, bchromatin, bchromatin
0, 0, 0.6666666666666666, 0.6666666666666666, 6, 1, normnucl, normnucl
0, 0.6666666666666666, 1, 1, 6, 1, normnucl, normnucl
0.6666666666666666, 0, 1, 0.6666666666666666, 6, 1, normnucl, normnucl
0, 0, 0.8333333333333334, 0.3888888888888889, 2, 0, bnuclei, bchromatin
0, 0, 0.16666666666666666, 0.16666666666666666, 7, 0, normnucl, normnucl
0, 0.16666666666666666, 1, 1, 7, 0, normnucl, normnucl
0.16666666666666666, 0, 1, 0.16666666666666666, 7, 0, normnucl, normnucl
0.8333333333333334, 0, 1, 1, 2, 1, bnuclei, bchromatin
0, 0, 0.6111111111111112, 0.6111111111111112, 8, 0, clump, clump
0, 0.6111111111111112, 1, 1, 8, 1, clump, clump
0.6111111111111112, 0, 1, 0.6111111111111112, 8, 1, clump, clump
0.3888888888888889, 0.6111111111111112, 1, 1, 1, 1, ucellsize, clump
0, 0.3888888888888889, 0.16666666666666666, 1, 0, 1, ucellsize, bnuclei
