0, 0, 1, 0.45, 0, -1, ucellsize, bnuclei
0.25, 0, 1, 1, 0, -1, ucellsize, bnuclei
0.45, 0.25, 1, 1, 1, -1, ucellsize, bnuclei
0, 0.25, 1, 1, 1, -1, ucellsize, bnuclei
0, 0.45, 0.25, 1, 0, 1, ucellsize, bnuclei
0, 0, 0.65, 1, 4, 0, clump, clump
0.65, 0, 1, 1, 4, 1, clump, clump
0, 0, 0.45, 0.25, 1, 0, ucellsize, bnuclei
0.65, 0, 1, 1, 2, 1, clump, bnuclei
0, 0, 0.65, 1, 4, 1, clump, clump
0.65, 0, 1, 1, 4, 1, clump, clump
0, 0, 0.65, 0.85, 2, 1, clump, bnuclei
0, 0.85, 0.65, 1, 2, 1, clump, bnuclei
