0, 0, 0.25, 1, 0, -1, ucellsize, ucellsize
0, 0.45, 1, 1, 0, -1, ucellsize, ucellsize
0, 0, 1, 0.45, 0, -1, ucellsize, ucellsize
0, 0, 0.25, 0.45, 4, -1, bnuclei, clump
0, 0, 1, 0.65, 4, -1, bnuclei, clump
0, 0.65, 1, 1, 4, -1, bnuclei, clump
0, 0, 1, 0.85, 2, -1, clump, bnuclei
0.45, 0, 1, 1, 5, 1, bnuclei, clump
0, 0, 0.45, 0.65, 5, 0, bnuclei, clump
0, 0.65, 0.45, 1, 5, 1, bnuclei, clump
0.65, 0, 1, 1, 2, 1, clump, bnuclei
0, 0, 0.25, 1, 6, 0, normnucl, normnucl
0.25, 0, 1, 1, 6, 0, normnucl, normnucl
0, 0.85, 0.65, 1, 2, 1, clump, bnuclei
0, 0, 0.35, 1, 6, 0, bchromatin, bchromatin
0.35, 0, 1, 1, 6, 1, bchromatin, bchromatin
0, 0, 0.7, 1, 6, 1, normnucl, normnucl
0.7, 0, 1, 1, 6, 1, normnucl, normnucl
0, 0, 0.45, 1, 3, 0, bchromatin, mgadhesion
0.45, 0, 1, 0.85, 3, 1, bchromatin, mgadhesion
0.45, 0.85, 1, 1, 3, 1, bchromatin, mgadhesion
