0.26054852320675104, 0, 1, 0.31847360912981454, 0, -1, Flavanoids, Proline, 1
0, 0.5644736842105266, 0.31847360912981454, 1, 1, -1, Alcohol, Alcohol, 2
0, 0, 0.26054852320675104, 1, 0, -2, Flavanoids, Proline, 3
0.26054852320675104, 0.31847360912981454, 1, 1, 0, -3, Flavanoids, Proline, 4
0.5644736842105266, 0, 0.6144736842105264, 0.5644736842105266, 2, 2, Alcohol, Alcohol
0, 0.5644736842105266, 0.6144736842105264, 0.6144736842105264, 2, 2, Alcohol, Alcohol
0, 0.6144736842105264, 1, 1, 2, 0, Alcohol, Alcohol
0.6144736842105264, 0, 1, 0.6144736842105264, 2, 0, Alcohol, Alcohol
0.21715017064846415, 0, 1, 0.37433155080213903, 3, 0, Color-intensity, Ash
0.21715017064846415, 0.37433155080213903, 1, 1, 3, 1, Color-intensity, Ash
0, 0, 0.5644736842105266, 0.5644736842105266, 1, 0, Alcohol, Alcohol
0, 0, 0.18600682593856652, 0.18600682593856652, 4, 0, Color-intensity, Color-intensity
0, 0.18600682593856652, 1, 1, 4, 2, Color-intensity, Color-intensity
0.18600682593856652, 0, 1, 0.18600682593856652, 4, 2, Color-intensity, Color-intensity
0, 0, 0.21715017064846415, 1, 3, 0, Color-intensity, Ash
