ID,proline,flavanoids,flavanoids,alcohol,alcohol,color_intensity,class
0,1065,3.06,3.06,14.23,14.23,5.64,1
1,1050,2.76,2.76,13.2,13.2,4.38,1
2,1185,3.24,3.24,13.16,13.16,5.68,1
3,1480,3.49,3.49,14.37,14.37,7.8,1
4,735,2.69,2.69,13.24,13.24,4.32,1
5,1450,3.39,3.39,14.2,14.2,6.75,1
6,1290,2.52,2.52,14.39,14.39,5.25,1
7,1295,2.51,2.51,14.06,14.06,5.05,1
8,1045,2.98,2.98,14.83,14.83,5.2,1
9,1045,3.15,3.15,13.86,13.86,7.22,1
10,1510,3.32,3.32,14.1,14.1,5.75,1
11,1280,2.43,2.43,14.12,14.12,5,1
12,1320,2.76,2.76,13.75,13.75,5.6,1
13,1150,3.69,3.69,14.75,14.75,5.4,1
14,1547,3.64,3.64,14.38,14.38,7.5,1
15,1310,2.91,2.91,13.63,13.63,7.3,1
16,1280,3.14,3.14,14.3,14.3,6.2,1
17,1130,3.4,3.4,13.83,13.83,6.6,1
18,1680,3.93,3.93,14.19,14.19,8.7,1
19,845,3.03,3.03,13.64,13.64,5.1,1
20,780,3.17,3.17,14.06,14.06,5.65,1
21,770,2.41,2.41,12.93,12.93,4.5,1
22,1035,2.88,2.88,13.71,13.71,3.8,1
23,1015,2.37,2.37,12.85,12.85,3.93,1
24,845,2.61,2.61,13.5,13.5,3.52,1
25,830,2.68,2.68,13.05,13.05,3.58,1
26,1195,2.94,2.94,13.39,13.39,4.8,1
27,1285,2.19,2.19,13.3,13.3,3.95,1
28,915,2.97,2.97,13.87,13.87,4.5,1
29,1035,2.33,2.33,14.02,14.02,4.7,1
30,1285,3.25,3.25,13.73,13.73,5.7,1
31,1515,3.19,3.19,13.58,13.58,6.9,1
32,990,2.69,2.69,13.68,13.68,3.84,1
33,1235,2.74,2.74,13.76,13.76,5.4,1
34,1095,2.53,2.53,13.51,13.51,4.2,1
35,920,2.98,2.98,13.48,13.48,5.1,1
36,880,2.68,2.68,13.28,13.28,4.6,1
37,1105,2.43,2.43,13.05,13.05,4.25,1
38,1020,2.64,2.64,13.07,13.07,3.7,1
39,760,3.04,3.04,14.22,14.22,5.1,1
40,795,3.29,3.29,13.56,13.56,6.13,1
41,1035,2.68,2.68,13.41,13.41,4.28,1
42,1095,3.56,3.56,13.88,13.88,5.43,1
43,680,2.63,2.63,13.24,13.24,4.36,1
44,885,3,3,13.05,13.05,5.04,1
45,1080,2.65,2.65,14.21,14.21,5.24,1
46,1065,3.17,3.17,14.38,14.38,4.9,1
47,985,3.39,3.39,13.9,13.9,6.1,1
48,1060,2.92,2.92,14.1,14.1,6.2,1
49,1260,3.54,3.54,13.94,13.94,8.9,1
50,1150,3.27,3.27,13.05,13.05,7.2,1
51,1265,2.99,2.99,13.83,13.83,5.6,1
52,1190,3.74,3.74,13.82,13.82,7.05,1
53,1375,2.79,2.79,13.77,13.77,6.3,1
54,1060,2.9,2.9,13.74,13.74,5.85,1
55,1120,2.78,2.78,13.56,13.56,6.25,1
56,970,3,3,14.22,14.22,6.38,1
57,1270,3.23,3.23,13.29,13.29,6,1
58,1285,3.67,3.67,13.72,13.72,6.8,1
59,520,0.57,0.57,12.37,12.37,1.95,2
60,680,1.09,1.09,12.33,12.33,3.27,2
61,450,1.41,1.41,12.64,12.64,5.75,2
62,630,1.79,1.79,13.67,13.67,3.8,2
63,420,3.1,3.1,12.37,12.37,4.45,2
64,355,1.75,1.75,12.17,12.17,2.95,2
65,678,2.65,2.65,12.37,12.37,4.6,2
66,502,3.18,3.18,13.11,13.11,5.3,2
67,510,2,2,12.37,12.37,4.68,2
68,750,1.3,1.3,13.34,13.34,3.17,2
69,718,1.28,1.28,12.21,12.21,2.85,2
70,870,1.02,1.02,12.29,12.29,3.05,2
71,410,2.86,2.86,13.86,13.86,3.38,2
72,472,1.84,1.84,13.49,13.49,3.74,2
73,985,2.89,2.89,12.99,12.99,3.35,2
74,886,2.14,2.14,11.96,11.96,3.21,2
75,428,1.57,1.57,11.66,11.66,3.8,2
76,392,2.03,2.03,13.03,13.03,4.6,2
77,500,1.32,1.32,11.84,11.84,2.65,2
78,750,1.85,1.85,12.33,12.33,3.4,2
79,463,2.55,2.55,12.7,12.7,2.57,2
80,278,2.26,2.26,12,12,2.5,2
81,714,2.53,2.53,12.72,12.72,3.9,2
82,630,1.58,1.58,12.08,12.08,2.2,2
83,515,1.59,1.59,13.05,13.05,4.8,2
84,520,2.21,2.21,11.84,11.84,3.05,2
85,450,1.94,1.94,12.67,12.67,2.62,2
86,495,1.69,1.69,12.16,12.16,2.45,2
87,562,1.61,1.61,11.65,11.65,2.6,2
88,680,1.69,1.69,11.64,11.64,2.8,2
89,625,1.59,1.59,12.08,12.08,1.74,2
90,480,1.5,1.5,12.08,12.08,2.4,2
91,450,1.25,1.25,12,12,3.6,2
92,495,1.46,1.46,12.69,12.69,3.05,2
93,290,2.25,2.25,12.29,12.29,2.15,2
94,345,2.26,2.26,11.62,11.62,3.25,2
95,937,2.27,2.27,12.47,12.47,2.6,2
96,625,0.99,0.99,11.81,11.81,2.5,2
97,428,2.5,2.5,12.29,12.29,2.9,2
98,660,3.75,3.75,12.37,12.37,4.5,2
99,406,2.99,2.99,12.29,12.29,2.3,2
100,710,2.17,2.17,12.08,12.08,3.3,2
101,562,1.36,1.36,12.6,12.6,2.45,2
102,438,2.11,2.11,12.34,12.34,2.8,2
103,415,1.64,1.64,11.82,11.82,2.06,2
104,672,1.92,1.92,12.51,12.51,2.94,2
105,315,1.84,1.84,12.42,12.42,2.7,2
106,510,2.03,2.03,12.25,12.25,3.4,2
107,488,1.76,1.76,12.72,12.72,3.3,2
108,312,2.04,2.04,12.22,12.22,2.7,2
109,680,2.92,2.92,11.61,11.61,2.65,2
110,562,2.58,2.58,11.46,11.46,2.9,2
111,325,2.27,2.27,12.52,12.52,2,2
112,607,2.03,2.03,11.76,11.76,3.8,2
113,434,2.01,2.01,11.41,11.41,3.08,2
114,385,2.29,2.29,12.08,12.08,2.9,2
115,407,2.17,2.17,11.03,11.03,1.9,2
116,495,1.6,1.6,11.82,11.82,1.95,2
117,345,2.09,2.09,12.42,12.42,2.06,2
118,372,1.25,1.25,12.77,12.77,3.4,2
119,564,1.64,1.64,12,12,1.28,2
120,625,2.79,2.79,11.45,11.45,3.25,2
121,465,5.08,5.08,11.56,11.56,6,2
122,365,2.13,2.13,12.42,12.42,2.08,2
123,380,2.65,2.65,13.05,13.05,2.6,2
124,380,3.03,3.03,11.87,11.87,2.8,2
125,378,2.65,2.65,12.07,12.07,2.76,2
126,352,3.15,3.15,12.43,12.43,3.94,2
127,466,2.24,2.24,11.79,11.79,3,2
128,342,2.45,2.45,12.37,12.37,2.12,2
129,580,1.75,1.75,12.04,12.04,2.6,2
130,630,1.25,1.25,12.86,12.86,4.1,2
131,530,1.22,1.22,12.88,12.88,5.4,2
132,560,1.09,1.09,12.81,12.81,5.7,2
133,600,1.2,1.2,12.7,12.7,5,2
134,650,0.58,0.58,12.51,12.51,5.45,2
135,695,0.66,0.66,12.6,12.6,7.1,2
136,720,0.47,0.47,12.25,12.25,3.85,2
137,515,0.6,0.6,12.53,12.53,5,2
138,580,0.48,0.48,13.49,13.49,5.7,2
139,590,0.6,0.6,12.84,12.84,4.92,2
140,600,0.5,0.5,12.93,12.93,4.6,2
141,780,0.5,0.5,13.36,13.36,5.6,2
