id,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,class
1,3,4,1,1,8,3,1,2,1,1,4,4,4,8,8,1,3,2,6,1,4,5,1
2,3,4,10,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,6,2,3,1,2
3,1,4,9,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,6,2,3,3,2
4,3,3,9,1,8,3,1,2,2,1,4,4,4,8,8,1,3,2,6,1,4,5,1
5,3,4,4,2,7,3,2,1,1,2,4,4,4,8,8,1,3,2,2,2,1,1,2
6,3,3,10,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,6,1,3,1,2
7,1,4,9,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,6,1,3,3,2
8,1,3,9,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,6,2,4,3,2
9,3,3,9,1,8,3,1,2,8,1,4,4,4,8,8,1,3,2,6,1,5,1,1
10,1,4,10,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,6,1,4,3,2
11,3,3,10,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,6,2,3,1,2
12,3,3,10,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,6,1,4,3,2
13,1,4,10,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,6,2,4,1,2
14,3,3,9,1,8,3,1,2,1,1,4,4,4,8,8,1,3,2,6,2,5,5,1
15,3,1,1,2,7,3,2,1,2,2,4,4,1,8,8,1,3,2,2,1,1,1,2
16,6,1,4,2,7,3,1,2,1,1,4,4,4,8,8,1,3,2,6,2,6,5,2
17,4,1,9,2,7,3,2,1,1,2,4,4,4,8,8,1,3,2,2,2,1,1,2
18,3,4,1,1,8,3,1,2,2,1,4,4,4,8,8,1,3,2,6,1,4,1,1
19,3,3,9,1,8,3,1,2,2,1,4,4,4,8,8,1,3,2,6,2,4,5,1
20,3,4,1,1,8,3,1,2,1,1,4,4,4,8,8,1,3,2,6,2,4,5,1
21,1,4,10,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,6,2,4,3,2
22,3,3,1,1,8,3,1,2,2,1,4,4,4,8,8,1,3,2,6,2,5,1,1
23,1,3,10,1,2,3,1,1,1,1,2,4,4,8,8,1,3,2,6,2,4,3,2
24,1,3,9,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,6,2,3,3,2
25,1,4,9,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,6,1,4,3,2
26,4,4,9,1,8,3,1,2,2,1,4,4,4,8,8,1,3,2,6,2,5,1,1
27,3,3,10,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,6,2,3,3,2
28,3,3,9,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,6,2,3,3,2
29,4,1,1,2,7,3,1,2,1,1,4,4,4,8,8,1,3,2,6,1,6,5,2
30,3,4,10,1,1,3,2,2,2,2,1,4,4,8,8,1,3,2,6,2,5,7,2
31,1,4,10,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,6,2,3,3,2
32,3,3,9,1,8,3,1,2,1,1,4,4,4,8,8,1,3,2,6,2,4,5,1
33,3,3,10,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,6,2,3,3,2
34,3,3,1,1,2,3,1,1,8,1,6,4,2,8,8,1,3,2,6,2,6,4,2
35,1,3,10,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,6,2,4,3,2
36,3,1,10,1,2,3,2,2,11,2,1,4,4,8,8,1,3,2,6,2,5,7,2
37,6,1,4,2,7,3,1,2,1,1,4,4,4,8,8,1,3,2,6,1,5,5,2
38,3,3,1,1,8,3,1,2,11,1,4,4,4,8,8,1,3,2,6,2,4,5,1
39,3,1,10,1,1,3,2,2,8,2,1,4,4,8,8,1,3,2,6,2,5,7,2
40,1,4,10,1,2,3,1,1,1,1,2,4,4,8,8,1,3,2,6,1,4,3,2
