id,XA,XB,XC,XD,XE,XF,XG,XH,XI,XJ,XK,XL,XM,XN,XO,XP,XQ,XR,XS,XT,XU,XV,class
1,3,4,1,1,8,3,1,2,1,1,4,4,4,8,8,1,3,2,6,1,4,5,class_1
2,3,4,10,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,6,2,3,1,class_2
3,1,4,9,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,6,2,3,3,class_2
4,3,3,9,1,8,3,1,2,2,1,4,4,4,8,8,1,3,2,6,1,4,5,class_1
5,3,4,4,2,7,3,2,1,1,2,4,4,4,8,8,1,3,2,2,2,1,1,class_2
6,3,3,10,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,6,1,3,1,class_2
7,1,4,9,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,6,1,3,3,class_2
8,1,3,9,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,6,2,4,3,class_2
9,3,3,9,1,8,3,1,2,8,1,4,4,4,8,8,1,3,2,6,1,5,1,class_1
10,1,4,10,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,6,1,4,3,class_2
11,3,3,10,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,6,2,3,1,class_2
12,3,3,10,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,6,1,4,3,class_2
13,1,4,10,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,6,2,4,1,class_2
14,3,3,9,1,8,3,1,2,1,1,4,4,4,8,8,1,3,2,6,2,5,5,class_1
15,3,1,1,2,7,3,2,1,2,2,4,4,1,8,8,1,3,2,2,1,1,1,class_2
16,6,1,4,2,7,3,1,2,1,1,4,4,4,8,8,1,3,2,6,2,6,5,class_2
17,4,1,9,2,7,3,2,1,1,2,4,4,4,8,8,1,3,2,2,2,1,1,class_2
18,3,4,1,1,8,3,1,2,2,1,4,4,4,8,8,1,3,2,6,1,4,1,class_1
19,3,3,9,1,8,3,1,2,2,1,4,4,4,8,8,1,3,2,6,2,4,5,class_1
20,3,4,1,1,8,3,1,2,1,1,4,4,4,8,8,1,3,2,6,2,4,5,class_1
21,1,4,10,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,6,2,4,3,class_2
22,3,3,1,1,8,3,1,2,2,1,4,4,4,8,8,1,3,2,6,2,5,1,class_1
23,1,3,10,1,2,3,1,1,1,1,2,4,4,8,8,1,3,2,6,2,4,3,class_2
24,1,3,9,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,6,2,3,3,class_2
25,1,4,9,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,6,1,4,3,class_2
26,4,4,9,1,8,3,1,2,2,1,4,4,4,8,8,1,3,2,6,2,5,1,class_1
27,3,3,10,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,6,2,3,3,class_2
28,3,3,9,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,6,2,3,3,class_2
